2025-09-10T12:59:08.049Z,Login Learner,27.939
2025-09-10T13:06:13.705Z,Login Learner,20.512
2025-09-10T13:07:45.483Z,Login Learner,22.743
2025-09-10T13:08:00.733Z,Login Educator,15.243
2025-09-10T13:10:03.850Z,Login Learner,26.871
2025-09-10T13:10:20.447Z,Login Educator,16.589
2025-09-11T12:40:52.503Z,Login Learner,ERROR
2025-09-11T12:41:18.260Z,Login Educator,ERROR
2025-09-11T12:41:44.367Z,Login Curator,ERROR
2025-09-11T12:42:06.285Z,Communicator Learner,ERROR
2025-09-11T12:42:29.493Z,Communicator Educator,ERROR
2025-09-11T12:42:51.371Z,Open Course Catalog,ERROR
2025-09-11T12:43:13.258Z,Open Review,ERROR
2025-09-11T12:44:47.947Z,Login Learner,29.157
2025-09-12T07:47:26.680Z,Open Review,ERROR
2025-09-12T07:49:39.983Z,Open Review,16.007
2025-09-12T08:19:48.800Z,Open SCORM,ERROR
2025-09-12T08:23:16.249Z,Open SCORM,ERROR
2025-09-12T08:26:29.408Z,Open SCORM,23.818
2025-09-12T09:39:19.633Z,Open SCORM,ERROR
2025-09-12T09:41:33.751Z,Open SCORM,16.93
2025-09-12T09:45:51.659Z,Open SCORM,ERROR
2025-09-12T09:46:09.243Z,Open SCORM,ERROR
2025-09-12T09:49:54.715Z,Open SCORM,ERROR
2025-09-12T09:50:11.132Z,Open SCORM,ERROR
2025-09-12T09:50:35.369Z,Open SCORM,ERROR
2025-09-12T09:50:50.785Z,Open SCORM,ERROR
2025-09-12T09:54:15.684Z,Open SCORM,ERROR
2025-09-12T09:57:18.746Z,Open SCORM,ERROR
2025-09-12T10:40:15.326Z,Open SCORM,14.253
2025-09-12T10:42:48.777Z,Open SCORM,15.292
2025-09-12T10:49:49.861Z,Open SCORM,14.342
2025-09-12T11:08:26.021Z,Open SCORM,ERROR
2025-09-12T11:08:51.784Z,Open SCORM,ERROR
2025-09-12T11:13:10.337Z,Open SCORM,13.043
2025-09-12T11:18:13.212Z,Open SCORM,3.215
2025-09-12T11:24:11.741Z,Open SCORM,8.028
2025-09-12T11:31:43.256Z,Open SCORM,9.983
2025-09-12T11:36:24.564Z,Open SCORM,11.282
2025-09-12T11:42:43.425Z,Open SCORM,11.915
2025-09-12T11:45:30.398Z,Open SCORM,ERROR
2025-09-12T11:45:46.408Z,Open SCORM,ERROR
2025-09-12T11:49:38.821Z,Open SCORM,ERROR
2025-09-12T11:52:40.226Z,Open SCORM,true
2025-09-12T11:52:40.232Z,Open SCORM,ERROR
2025-09-12T11:55:24.529Z,Open SCORM,ERROR
2025-09-12T11:56:56.965Z,Open SCORM,18.588
